year,cumulative_q
1980,133310016000
1981,161039232000
1982,194325696000
1983,112592160000
1984,122536800000
1985,140778432000
1986,113767200000
1987,98548704000
1988,93926304000
1989,116135424000
1990,98889984000
1991,109707264000
1992,98261856000
1993,104155200000
1994,131547456000
1995,101545056000
1996,209329920000
1997,173579328000
1998,129509280000
1999,138246912000
2000,118863936000
2001,87100704000
2002,106818912000
2003,110528064000
2004,112777056000
2005,80962848000
2006,98420832000
2007,92330496000
2008,92055744000
2009,87295968000
2010,97512768000
2011,527437440000
2012,133130304000
2013,144688032000
2014,122228352000
2015,110407968000
2016,124364160000
2017,118724832000
2018,237061728000
2019,165875040000
2020,152051040000
